date,value
2025-11-28,419150.9853680794
2025-12-01,420256.76595439407
2025-12-02,420461.09917186736
2025-12-03,419573.68460172316
2025-12-04,418740.43438216014
2025-12-05,419422.30145013897
2025-12-08,419864.8883309639
2025-12-09,419352.4898989701
2025-12-10,420109.70191734814
2025-12-11,418831.48221658653
2025-12-12,418828.46053291066
2025-12-15,420106.50725881476
2025-12-16,419953.73236945545
2025-12-17,419585.4721137004
2025-12-18,421021.3654979749
2025-12-19,421703.533898014
2025-12-22,421764.45413099055
2025-12-23,421266.8723351449
2025-12-24,421366.1174789998
2025-12-25,420987.13924181083
2025-12-26,420814.73578856763
2025-12-29,420639.9497349508
2025-12-30,420270.54862624494
2025-12-31,420048.49513834354
2026-01-05,420257.11924964644
2026-01-06,421666.31829180877
2026-01-07,421335.69204226614
2026-01-08,422543.6825883798
2026-01-09,422918.75469485304
2026-01-12,422797.59359411825
2026-01-13,421893.51467730466
2026-01-14,421749.09422781196
2026-01-15,421040.8414172343
2026-01-16,420982.11013128614
2026-01-19,422067.97761628585
2026-01-20,421290.7851095337
2026-01-21,421509.0094282145
2026-01-22,422033.5284307869
2026-01-23,422346.21296255937
2026-01-26,422308.76299419184
2026-01-27,421625.64882815944
2026-01-28,421108.2707086552
2026-01-29,420505.6446640496
2026-01-30,420735.4664071336
2026-02-02,418763.96825679863
2026-02-03,418145.2022137665
2026-02-04,417961.5207182234
2026-02-05,416982.298120399
2026-02-06,416439.96136946796
2026-02-09,417379.2886608385
2026-02-10,417099.5756281269
2026-02-11,417040.5898450911
2026-02-12,416822.0571346295
2026-02-13,416880.39811143745
2026-02-24,417720.22038689884
2026-02-25,417645.90906023467
2026-02-26,417652.03895894374
2026-02-27,418053.5632108567
2026-03-02,417367.6152125246
2026-03-03,415691.9296688305
2026-03-04,419928.70071860484
2026-03-05,419120.76607257925
2026-03-06,420122.9020259133
2026-03-09,418669.979056935
2026-03-10,420550.2784997124
2026-03-11,420577.54810585966
2026-03-12,418427.2373137623
2026-03-13,421773.99059781875
2026-03-16,423418.1987978801
2026-03-17,424252.5634385477
2026-03-18,423188.92375222774
2026-03-19,422243.3200734036
2026-03-20,421869.43348410306
2026-03-23,417551.3514959975
2026-03-24,420115.3809008262
2026-03-25,420110.7286557248
2026-03-26,418267.14056865236
2026-03-27,417638.6375915433
2026-03-30,417033.2387360119
2026-03-31,413182.5393234114
